,Country,Continent,democracy,regime,start_year,duration,observed,Period
139,Belize,Americas,Democracy,Parliamentary Dem,1998,10,1,Late
140,Belize,Americas,Democracy,Parliamentary Dem,2008,1,0,Late
141,Benin,Africa,Non-democracy,Civilian Dict,1960,3,1,Early
142,Benin,Africa,Non-democracy,Military Dict,1963,4,1,Early
143,Benin,Africa,Non-democracy,Military Dict,1967,1,1,Middle
144,Benin,Africa,Non-democracy,Military Dict,1968,2,1,Middle
145,Benin,Africa,Non-democracy,Civilian Dict,1970,2,1,Middle
146,Benin,Africa,Non-democracy,Military Dict,1972,19,1,Middle
147,Benin,Africa,Democracy,Presidential Dem,1991,5,1,Late
148,Benin,Africa,Democracy,Presidential Dem,1996,10,1,Late
149,Benin,Africa,Democracy,Presidential Dem,2006,3,0,Late
150,Bhutan,Asia,Non-democracy,Monarchy,1946,6,0,Early
151,Bhutan,Asia,Non-democracy,Monarchy,1952,20,0,Early
152,Bhutan,Asia,Non-democracy,Monarchy,1972,35,1,Middle
153,Bhutan,Asia,Democracy,Parliamentary Dem,2007,1,1,Late
154,Bhutan,Asia,Democracy,Parliamentary Dem,2008,1,0,Late
155,Bolivia,Americas,Non-democracy,Military Dict,1946,1,1,Early
156,Bolivia,Americas,Non-democracy,Civilian Dict,1947,2,1,Early
157,Bolivia,Americas,Non-democracy,Civilian Dict,1949,2,1,Early
158,Bolivia,Americas,Non-democracy,Military Dict,1951,1,1,Early
159,Bolivia,Americas,Non-democracy,Civilian Dict,1952,4,1,Early
160,Bolivia,Americas,Non-democracy,Civilian Dict,1956,4,1,Early
161,Bolivia,Americas,Non-democracy,Civilian Dict,1960,4,1,Early
162,Bolivia,Americas,Non-democracy,Military Dict,1964,1,1,Early
163,Bolivia,Americas,Non-democracy,Military Dict,1965,1,1,Early
164,Bolivia,Americas,Non-democracy,Military Dict,1966,3,0,Middle
165,Bolivia,Americas,Non-democracy,Military Dict,1969,1,1,Middle
166,Bolivia,Americas,Non-democracy,Military Dict,1970,1,1,Middle
167,Bolivia,Americas,Non-democracy,Military Dict,1971,7,1,Middle
168,Bolivia,Americas,Non-democracy,Military Dict,1978,1,1,Middle
169,Bolivia,Americas,Democracy,Presidential Dem,1979,1,1,Middle
170,Bolivia,Americas,Non-democracy,Military Dict,1980,1,1,Middle
171,Bolivia,Americas,Non-democracy,Military Dict,1981,1,1,Middle
172,Bolivia,Americas,Democracy,Presidential Dem,1982,3,1,Middle
173,Bolivia,Americas,Democracy,Presidential Dem,1985,4,1,Middle
174,Bolivia,Americas,Democracy,Presidential Dem,1989,4,1,Late
175,Bolivia,Americas,Democracy,Presidential Dem,1993,4,1,Late
176,Bolivia,Americas,Democracy,Presidential Dem,1997,4,1,Late
177,Bolivia,Americas,Democracy,Presidential Dem,2001,1,1,Late
178,Bolivia,Americas,Democracy,Presidential Dem,2002,1,1,Late
179,Bolivia,Americas,Democracy,Presidential Dem,2003,2,1,Late
180,Bolivia,Americas,Democracy,Presidential Dem,2005,1,1,Late
181,Bolivia,Americas,Democracy,Presidential Dem,2006,3,0,Late
182,Bosnia and Herzegovina,Europe,Non-democracy,Civilian Dict,1991,7,1,Late
183,Bosnia and Herzegovina,Europe,Non-democracy,Civilian Dict,1998,1,1,Late
184,Bosnia and Herzegovina,Europe,Non-democracy,Civilian Dict,1999,1,1,Late
185,Bosnia and Herzegovina,Europe,Non-democracy,Civilian Dict,2000,1,1,Late
186,Bosnia and Herzegovina,Europe,Non-democracy,Civilian Dict,2001,1,1,Late
187,Bosnia and Herzegovina,Europe,Non-democracy,Civilian Dict,2002,1,1,Late
188,Bosnia and Herzegovina,Europe,Non-democracy,Civilian Dict,2003,1,1,Late
189,Bosnia and Herzegovina,Europe,Non-democracy,Civilian Dict,2004,1,1,Late
190,Bosnia and Herzegovina,Europe,Non-democracy,Civilian Dict,2005,1,1,Late
191,Bosnia and Herzegovina,Europe,Non-democracy,Civilian Dict,2006,1,1,Late
192,Bosnia and Herzegovina,Europe,Non-democracy,Civilian Dict,2007,1,1,Late
193,Bosnia and Herzegovina,Europe,Non-democracy,Civilian Dict,2008,1,0,Late
194,Botswana,Africa,Non-democracy,Civilian Dict,1966,14,0,Middle
195,Botswana,Africa,Non-democracy,Civilian Dict,1980,18,1,Middle
196,Botswana,Africa,Non-democracy,Civilian Dict,1998,10,1,Late
197,Botswana,Africa,Non-democracy,Military Dict,2008,1,0,Late
198,Brazil,Americas,Democracy,Presidential Dem,1946,5,1,Early
199,Brazil,Americas,Democracy,Presidential Dem,1951,3,0,Early
200,Brazil,Americas,Democracy,Presidential Dem,1954,1,1,Early
201,Brazil,Americas,Democracy,Presidential Dem,1955,1,1,Early
202,Brazil,Americas,Democracy,Presidential Dem,1956,5,1,Early
203,Brazil,Americas,Democracy,Mixed Dem,1961,1,1,Early
204,Brazil,Americas,Democracy,Mixed Dem,1962,1,1,Early
205,Brazil,Americas,Democracy,Presidential Dem,1963,1,1,Early
206,Brazil,Americas,Non-democracy,Military Dict,1964,3,1,Early
207,Brazil,Americas,Non-democracy,Military Dict,1967,2,1,Middle
208,Brazil,Americas,Non-democracy,Military Dict,1969,5,1,Middle
209,Brazil,Americas,Non-democracy,Military Dict,1974,5,1,Middle
210,Brazil,Americas,Non-democracy,Military Dict,1979,6,1,Middle
211,Brazil,Americas,Democracy,Presidential Dem,1985,5,1,Middle
212,Brazil,Americas,Democracy,Presidential Dem,1990,2,1,Late
213,Brazil,Americas,Democracy,Presidential Dem,1992,3,1,Late
214,Brazil,Americas,Democracy,Presidential Dem,1995,8,1,Late
215,Brazil,Americas,Democracy,Presidential Dem,2003,6,0,Late
216,Brunei Darussalam,Asia,Non-democracy,Monarchy,1984,25,0,Middle
217,Bulgaria,Europe,Non-democracy,Civilian Dict,1946,3,0,Early
218,Bulgaria,Europe,Non-democracy,Civilian Dict,1949,1,0,Early
219,Bulgaria,Europe,Non-democracy,Civilian Dict,1950,4,1,Early
220,Bulgaria,Europe,Non-democracy,Civilian Dict,1954,35,1,Early
221,Bulgaria,Europe,Non-democracy,Civilian Dict,1989,1,1,Late
222,Bulgaria,Europe,Democracy,Mixed Dem,1990,1,1,Late
223,Bulgaria,Europe,Democracy,Mixed Dem,1991,1,1,Late
224,Bulgaria,Europe,Democracy,Mixed Dem,1992,2,1,Late
225,Bulgaria,Europe,Democracy,Mixed Dem,1994,1,1,Late
226,Bulgaria,Europe,Democracy,Mixed Dem,1995,2,1,Late
227,Bulgaria,Europe,Democracy,Mixed Dem,1997,4,1,Late
228,Bulgaria,Europe,Democracy,Mixed Dem,2001,4,1,Late
229,Bulgaria,Europe,Democracy,Mixed Dem,2005,4,0,Late
230,Burkina Faso,Africa,Non-democracy,Civilian Dict,1960,6,1,Early
231,Burkina Faso,Africa,Non-democracy,Military Dict,1966,14,1,Middle
232,Burkina Faso,Africa,Non-democracy,Military Dict,1980,2,1,Middle
233,Burkina Faso,Africa,Non-democracy,Military Dict,1982,1,1,Middle
234,Burkina Faso,Africa,Non-democracy,Military Dict,1983,4,0,Middle
235,Burkina Faso,Africa,Non-democracy,Military Dict,1987,22,0,Late
236,Burundi,Africa,Non-democracy,Monarchy,1962,4,1,Early
237,Burundi,Africa,Non-democracy,Military Dict,1966,10,1,Middle
238,Burundi,Africa,Non-democracy,Military Dict,1976,11,1,Middle
239,Burundi,Africa,Non-democracy,Military Dict,1987,6,1,Late
240,Burundi,Africa,Democracy,Presidential Dem,1993,1,1,Late
241,Burundi,Africa,Democracy,Presidential Dem,1994,2,1,Late
242,Burundi,Africa,Non-democracy,Military Dict,1996,7,1,Late
243,Burundi,Africa,Non-democracy,Civilian Dict,2003,2,1,Late
244,Burundi,Africa,Democracy,Presidential Dem,2005,4,0,Late
245,Cambodia,Asia,Non-democracy,Monarchy,1953,2,1,Early
246,Cambodia,Asia,Non-democracy,Civilian Dict,1955,11,1,Early
247,Cambodia,Asia,Non-democracy,Military Dict,1966,1,1,Middle
248,Cambodia,Asia,Non-democracy,Civilian Dict,1967,2,1,Middle
249,Cambodia,Asia,Non-democracy,Military Dict,1969,6,1,Middle
250,Cambodia,Asia,Non-democracy,Civilian Dict,1975,1,1,Middle
251,Cambodia,Asia,Non-democracy,Civilian Dict,1976,3,1,Middle
252,Cambodia,Asia,Non-democracy,Military Dict,1979,12,1,Middle
253,Cambodia,Asia,Non-democracy,Civilian Dict,1991,2,1,Late
254,Cambodia,Asia,Non-democracy,Civilian Dict,1993,4,1,Late
255,Cambodia,Asia,Non-democracy,Civilian Dict,1997,12,0,Late
256,Cameroon,Africa,Non-democracy,Civilian Dict,1960,22,1,Early
257,Cameroon,Africa,Non-democracy,Civilian Dict,1982,27,0,Middle
258,Canada,Americas,Democracy,Parliamentary Dem,1946,2,1,Early
259,Canada,Americas,Democracy,Parliamentary Dem,1948,9,1,Early
260,Canada,Americas,Democracy,Parliamentary Dem,1957,6,1,Early
261,Canada,Americas,Democracy,Parliamentary Dem,1963,5,1,Early
262,Canada,Americas,Democracy,Parliamentary Dem,1968,11,1,Middle
263,Canada,Americas,Democracy,Parliamentary Dem,1979,1,1,Middle
264,Canada,Americas,Democracy,Parliamentary Dem,1980,4,1,Middle
265,Canada,Americas,Democracy,Parliamentary Dem,1984,9,1,Middle
266,Canada,Americas,Democracy,Parliamentary Dem,1993,10,1,Late
267,Canada,Americas,Democracy,Parliamentary Dem,2003,3,1,Late
268,Canada,Americas,Democracy,Parliamentary Dem,2006,3,0,Late
269,Cape Verde,Africa,Non-democracy,Civilian Dict,1975,15,1,Middle
270,Cape Verde,Africa,Democracy,Mixed Dem,1990,1,1,Late
271,Cape Verde,Africa,Democracy,Mixed Dem,1991,9,1,Late
272,Cape Verde,Africa,Democracy,Mixed Dem,2000,1,1,Late
273,Cape Verde,Africa,Democracy,Mixed Dem,2001,8,0,Late
274,Central African Republic,Africa,Non-democracy,Civilian Dict,1960,6,1,Early
275,Central African Republic,Africa,Non-democracy,Military Dict,1966,13,1,Middle
276,Central African Republic,Africa,Non-democracy,Civilian Dict,1979,2,1,Middle
277,Central African Republic,Africa,Non-democracy,Military Dict,1981,12,1,Middle
278,Central African Republic,Africa,Democracy,Mixed Dem,1993,2,1,Late
279,Central African Republic,Africa,Democracy,Mixed Dem,1995,1,1,Late
280,Central African Republic,Africa,Democracy,Mixed Dem,1996,1,1,Late
281,Central African Republic,Africa,Democracy,Mixed Dem,1997,2,1,Late
282,Central African Republic,Africa,Democracy,Mixed Dem,1999,2,1,Late
283,Central African Republic,Africa,Democracy,Mixed Dem,2001,2,1,Late
284,Central African Republic,Africa,Non-democracy,Military Dict,2003,6,0,Late
285,Chad,Africa,Non-democracy,Civilian Dict,1960,15,0,Early
286,Chad,Africa,Non-democracy,Military Dict,1975,4,1,Middle
287,Chad,Africa,Non-democracy,Civilian Dict,1979,3,1,Middle
288,Chad,Africa,Non-democracy,Civilian Dict,1982,8,1,Middle
289,Chad,Africa,Non-democracy,Military Dict,1990,19,0,Late
290,Chile,Americas,Democracy,Presidential Dem,1946,6,1,Early
291,Chile,Americas,Democracy,Presidential Dem,1952,6,1,Early
292,Chile,Americas,Democracy,Presidential Dem,1958,6,1,Early
293,Chile,Americas,Democracy,Presidential Dem,1964,6,1,Early
294,Chile,Americas,Democracy,Presidential Dem,1970,3,0,Middle
295,Chile,Americas,Non-democracy,Military Dict,1973,17,1,Middle
296,Chile,Americas,Democracy,Presidential Dem,1990,4,1,Late
297,Chile,Americas,Democracy,Presidential Dem,1994,6,1,Late
298,Chile,Americas,Democracy,Presidential Dem,2000,6,1,Late
299,Chile,Americas,Democracy,Presidential Dem,2006,3,0,Late
300,China,Asia,Non-democracy,Military Dict,1946,3,1,Early
301,China,Asia,Non-democracy,Civilian Dict,1949,27,0,Early
302,China,Asia,Non-democracy,Civilian Dict,1976,2,1,Middle
303,China,Asia,Non-democracy,Civilian Dict,1978,19,0,Middle
304,China,Asia,Non-democracy,Civilian Dict,1997,5,1,Late
305,China,Asia,Non-democracy,Civilian Dict,2002,7,0,Late
306,Colombia,Americas,Democracy,Presidential Dem,1946,3,1,Early
307,Colombia,Americas,Non-democracy,Civilian Dict,1949,1,1,Early
308,Colombia,Americas,Non-democracy,Civilian Dict,1950,1,1,Early
309,Colombia,Americas,Non-democracy,Civilian Dict,1951,2,1,Early
310,Colombia,Americas,Non-democracy,Military Dict,1953,4,1,Early
311,Colombia,Americas,Non-democracy,Military Dict,1957,1,1,Early
312,Colombia,Americas,Democracy,Presidential Dem,1958,4,1,Early
313,Colombia,Americas,Democracy,Presidential Dem,1962,4,1,Early
314,Colombia,Americas,Democracy,Presidential Dem,1966,4,1,Middle
315,Colombia,Americas,Democracy,Presidential Dem,1970,4,1,Middle
316,Colombia,Americas,Democracy,Presidential Dem,1974,4,1,Middle
317,Colombia,Americas,Democracy,Presidential Dem,1978,4,1,Middle
318,Colombia,Americas,Democracy,Presidential Dem,1982,4,1,Middle
319,Colombia,Americas,Democracy,Presidential Dem,1986,4,1,Late
320,Colombia,Americas,Democracy,Presidential Dem,1990,4,1,Late
321,Colombia,Americas,Democracy,Presidential Dem,1994,4,1,Late
322,Colombia,Americas,Democracy,Presidential Dem,1998,4,1,Late
323,Colombia,Americas,Democracy,Presidential Dem,2002,7,0,Late
324,Comoros,Africa,Non-democracy,Civilian Dict,1975,3,0,Middle
325,Comoros,Africa,Non-democracy,Civilian Dict,1978,11,0,Middle
326,Comoros,Africa,Non-democracy,Civilian Dict,1989,1,1,Late
327,Comoros,Africa,Democracy,Mixed Dem,1990,3,1,Late
328,Comoros,Africa,Democracy,Mixed Dem,1993,1,1,Late
329,Comoros,Africa,Democracy,Mixed Dem,1994,1,1,Late
330,Comoros,Africa,Non-democracy,Civilian Dict,1995,1,1,Late
331,Comoros,Africa,Non-democracy,Civilian Dict,1996,2,0,Late
332,Comoros,Africa,Non-democracy,Civilian Dict,1998,1,1,Late
333,Comoros,Africa,Non-democracy,Military Dict,1999,5,1,Late
334,Comoros,Africa,Democracy,Presidential Dem,2004,2,1,Late
335,Comoros,Africa,Democracy,Presidential Dem,2006,3,0,Late
336,"Congo (Brazzaville, Republic of Congo)",Africa,Democracy,Presidential Dem,1960,3,1,Early
337,"Congo (Brazzaville, Republic of Congo)",Africa,Non-democracy,Civilian Dict,1963,5,1,Early
338,"Congo (Brazzaville, Republic of Congo)",Africa,Non-democracy,Military Dict,1968,1,1,Middle
339,"Congo (Brazzaville, Republic of Congo)",Africa,Non-democracy,Military Dict,1969,8,0,Middle
340,"Congo (Brazzaville, Republic of Congo)",Africa,Non-democracy,Military Dict,1977,2,1,Middle
341,"Congo (Brazzaville, Republic of Congo)",Africa,Non-democracy,Military Dict,1979,13,1,Middle
342,"Congo (Brazzaville, Republic of Congo)",Africa,Democracy,Mixed Dem,1992,1,1,Late
343,"Congo (Brazzaville, Republic of Congo)",Africa,Democracy,Mixed Dem,1993,3,1,Late
344,"Congo (Brazzaville, Republic of Congo)",Africa,Democracy,Mixed Dem,1996,1,1,Late
345,"Congo (Brazzaville, Republic of Congo)",Africa,Non-democracy,Military Dict,1997,12,0,Late
346,Costa Rica,Americas,Democracy,Presidential Dem,1946,2,1,Early
347,Costa Rica,Americas,Non-democracy,Civilian Dict,1948,1,1,Early
348,Costa Rica,Americas,Democracy,Presidential Dem,1949,4,1,Early
349,Costa Rica,Americas,Democracy,Presidential Dem,1953,5,1,Early
350,Costa Rica,Americas,Democracy,Presidential Dem,1958,4,1,Early
351,Costa Rica,Americas,Democracy,Presidential Dem,1962,4,1,Early
352,Costa Rica,Americas,Democracy,Presidential Dem,1966,4,1,Middle
353,Costa Rica,Americas,Democracy,Presidential Dem,1970,4,1,Middle
354,Costa Rica,Americas,Democracy,Presidential Dem,1974,4,1,Middle
355,Costa Rica,Americas,Democracy,Presidential Dem,1978,4,1,Middle
356,Costa Rica,Americas,Democracy,Presidential Dem,1982,4,1,Middle
357,Costa Rica,Americas,Democracy,Presidential Dem,1986,4,1,Late
358,Costa Rica,Americas,Democracy,Presidential Dem,1990,4,1,Late
359,Costa Rica,Americas,Democracy,Presidential Dem,1994,4,1,Late
360,Costa Rica,Americas,Democracy,Presidential Dem,1998,4,1,Late
361,Costa Rica,Americas,Democracy,Presidential Dem,2002,4,1,Late
362,Costa Rica,Americas,Democracy,Presidential Dem,2006,3,0,Late
363,Cote d'Ivoire,Africa,Non-democracy,Civilian Dict,1960,33,0,Early
364,Cote d'Ivoire,Africa,Non-democracy,Civilian Dict,1993,6,1,Late
365,Cote d'Ivoire,Africa,Non-democracy,Military Dict,1999,1,1,Late
366,Cote d'Ivoire,Africa,Non-democracy,Civilian Dict,2000,9,0,Late
367,Croatia,Europe,Democracy,Mixed Dem,1991,1,1,Late
368,Croatia,Europe,Democracy,Mixed Dem,1992,1,1,Late
369,Croatia,Europe,Democracy,Mixed Dem,1993,2,1,Late
370,Croatia,Europe,Democracy,Mixed Dem,1995,5,1,Late
371,Croatia,Europe,Democracy,Mixed Dem,2000,3,1,Late
372,Croatia,Europe,Democracy,Mixed Dem,2003,6,0,Late
373,Cuba,Americas,Democracy,Presidential Dem,1946,6,1,Early
374,Cuba,Americas,Non-democracy,Military Dict,1952,7,1,Early
375,Cuba,Americas,Non-democracy,Civilian Dict,1959,47,1,Early
376,Cuba,Americas,Non-democracy,Military Dict,2006,3,0,Late
377,Cyprus,Asia,Non-democracy,Civilian Dict,1960,17,0,Early
378,Cyprus,Asia,Non-democracy,Civilian Dict,1977,6,0,Middle
379,Cyprus,Asia,Democracy,Presidential Dem,1983,5,1,Middle
380,Cyprus,Asia,Democracy,Presidential Dem,1988,5,1,Late
381,Cyprus,Asia,Democracy,Presidential Dem,1993,10,1,Late
382,Cyprus,Asia,Democracy,Presidential Dem,2003,5,1,Late
